Pandion haliaetus
Parisoma layardi
Parisoma subcaeruleum
Parus cinerascens
Parus niger
Passer diffusus
Passer domesticus
Passer motitensis
Pelecanus rufescens
Pernis apivorus
Phalacrocorax lucidus
Phalaropus fulicarius
Philetairus socius
Philomachus pugnax
Phoeniconaias minor
Phoenicopterus ruber
Phoeniculus purpureus
Phyllastrephus flavostriatus
Phyllastrephus terrestris
Phylloscopus ruficapilla
Pinarocorys nigricans
Platysteira peltata
Plectropterus gambensis
Plegadis falcinellus
Ploceus ocularis
Ploceus xanthops
Ploceus xanthopterus
Pluvialis squatarola
Podica senegalensis
Podiceps cristatus
Podiceps nigricollis
Pogoniulus chrysoconus
Poicephalus meyeri
Polemaetus bellicosus
Polyboroides typus
Porphyrio alleni
Porphyrio porphyrio
Porzana porzana
Porzana pusilla
Prinia flavicans
Prinia subflava
Prionops plumatus
Prionops retzii
Prodotiscus regulus
Promerops gurneyi
Pseudhirundo griseopyga
Pterocles burchelli
Pterocles gutturalis
Ptilopsis granti
Pycnonotus nigricans
Pycnonotus tricolor
Pytilia afra
Quelea quelea
Rallus caerulescens
Recurvirostra avosetta
Rhinoptilus africanus
Rhinoptilus chalcopterus
Rhinoptilus cinctus
Riparia cincta
Riparia paludicola
Riparia riparia
Rostratula benghalensis
Rynchops flavirostris
Sagittarius serpentarius
Sarkidiornis melanotos
Sarothrura boehmi
Sarothrura rufa
Saxicola torquatus
Francolinus africanus
Scleroptila levaillantoides
Francolinus shelleyi
Scopus umbretta
Scotopelia peli
Serinus canicollis
Sigelus silens
Spermestes bicolor
Lonchura cucullata
Sphenoeacus afer
Spizocorys conirostris
Sporopipes squamifrons
Stenostira scita
Streptopelia decipiens
Sylvia borin
Sylvia communis
Apus melba
Tadorna cana
Tchagra australis
Chlorophoneus olivaceus
Telophorus quadricolor
Chlorophoneus sulfureopectus
Telophorus zeylonus
Terathopius ecaudatus
Thalassornis leuconotus
Tockus nasutus
Torgos tracheliotus
Treron calvus
Trigonoceps occipitalis
Tringa ochropus
Tringa stagnatilis
Trochocercus cyanomelas
Turnix sylvaticus
Turtur chalcospilos
Turtur tympanistria
Tyto alba
Tyto capensis
Upupa epops
Vanellus albiceps
Vanellus lugubris
Vanellus senegallus
Vidua chalybeata
Vidua funerea
Vidua regia
Xenus cinereus
Vanellus
Macronemurus euanthe
Barleria pretoriensis
Itea rhamnoides
Coddia rudis
Creoleon africanus
Senegalia galpinii
Adiantum capillus-veneris
Leucospermum cordifolium
Senegalia caffra
Vachellia gerrardii
Pellaea sp.
Faurea saligna
Euphorbia erythrina
Leucadendron rubrum
Oryza longistaminata
Euphorbia davyi
Faidherbia albida
Fimbristylis ovata
Abutilon ramosum
Abutilon rehmannii
Abutilon sonneratianum
Senegalia burkei
Vachellia erioloba
Senegalia erubescens
Vachellia hebeclada
Senegalia hereroensis
Acacia karroo Hayne x A. tenuispina I.Verd.
Vachellia nebrownii
Senegalia nigrescens
Vachellia rehmanniana
Vachellia robusta
Vachellia sieberiana
Acacia sp.
Acalypha angustata
Acalypha caperonioides
Acalypha segetalis
Acalypha sp.
Acalypha brachiata
Acanthospermum glabratum
Acanthospermum hispidum
Acarospora sp.
Acokanthera oppositifolia
Acrachne racemosa
Acrotome hispida
Acrotome inflata
Adenium obesum
Adenocline acuta
Adiantum incisum
Adiantum poiretii
Aeollanthus buchnerianus
Aeollanthus parvifolius
